 R   <X|H|A> 
11.98615 -4.789488985055402e-6
11.99334 -4.795815905672269e-6
12.00052 -4.802101044317359e-6
12.0077 -4.808347540202342e-6
12.01488 -4.814555483436448e-6
12.02206 -4.820730468211888e-6
12.02924 -4.826877829558936e-6
12.03642 -4.83298121235667e-6
12.0436 -4.839056974513408e-6
12.05078 -4.845088755334927e-6
12.05796 -4.851098423827156e-6
12.06515 -4.857072320110621e-6
12.07233 -4.863010429319096e-6
12.07951 -4.868915403829631e-6
12.08669 -4.874781906356625e-6
12.09387 -4.880615283333552e-6
12.10105 -4.886421122508526e-6
12.10823 -4.892188487181785e-6
12.11541 -4.897928233371403e-6
12.12259 -4.9036350136869e-6
12.12977 -4.909308671747478e-6
12.13696 -4.914951602564918e-6
12.14414 -4.920564709141911e-6
12.15132 -4.926139179172459e-6
12.1585 -4.931686192338438e-6
12.16568 -4.937200079787084e-6
12.17286 -4.942680922174584e-6
12.18004 -4.948134302445992e-6
12.18722 -4.953560069191534e-6
12.1944 -4.9589528655666565e-6
12.20158 -4.964312541071777e-6
12.20876 -4.969639168896243e-6
12.21595 -4.974945691745703e-6
12.22313 -4.980217202041543e-6
12.23031 -4.985455735759136e-6
12.23749 -4.990661155377986e-6
12.24467 -4.995850052131495e-6
12.25185 -5.00099495617036e-6
12.25903 -5.006123268247489e-6
12.26621 -5.011213097046391e-6
12.27339 -5.016280820703425e-6
12.28057 -5.021321084517475e-6
12.28776 -5.026329668254335e-6
12.29494 -5.031309236933492e-6
12.30212 -5.0362613321789945e-6
12.3093 -5.041185821019869e-6
12.31648 -5.0460828396111825e-6
12.32366 -5.050952251729673e-6
12.33084 -5.055794125743855e-6
12.33802 -5.060608528548176e-6
12.3452 -5.065395325859423e-6
12.35238 -5.070154651914224e-6
12.35956 -5.074886369813034e-6
12.36675 -5.079602598365583e-6
12.37393 -5.08427926899293e-6
12.38111 -5.08893384677132e-6
12.38829 -5.093560949805296e-6
12.39547 -5.098165958064499e-6
12.40265 -5.1027379192771605e-6
12.40983 -5.107287913841841e-6
12.41701 -5.11181030689242e-6
12.42419 -5.116310728773456e-6
12.43137 -5.1207890670412204e-6
12.43856 -5.125235017230964e-6
12.44574 -5.129663810634317e-6
12.45292 -5.1340594912147654e-6
12.4601 -5.1384387127736185e-6
12.46728 -5.142784824747466e-6
12.47446 -5.147114476552626e-6
12.48164 -5.151416529227423e-6
12.48882 -5.155691042830339e-6
12.496 -5.159943584038385e-6
12.50318 -5.164174037841783e-6
12.51036 -5.1683770112532155e-6
12.51755 -5.172563700714553e-6
12.52473 -5.176722521722924e-6
12.53191 -5.180859369720213e-6
12.53909 -5.184974129711234e-6
12.54627 -5.1890669156555175e-6
12.55345 -5.193132105775692e-6
12.56063 -5.197175265330686e-6
12.56781 -5.201196450442371e-6
12.57499 -5.205195548885029e-6
12.58217 -5.20917267180162e-6
12.58936 -5.2131332014319535e-6
12.59654 -5.217066180535051e-6
12.60372 -5.220982686847291e-6
12.6109 -5.224866092633481e-6
12.61808 -5.228738540239056e-6
12.62526 -5.232583393232252e-6
12.63244 -5.2364117249575395e-6
12.63962 -5.240212569875019e-6
12.6468 -5.243996840555857e-6
12.65398 -5.247753622587666e-6
12.66117 -5.251504539320214e-6
12.66835 -5.255228243030937e-6
12.67553 -5.258924359995187e-6
12.68271 -5.262603956279905e-6
12.68989 -5.266261571488695e-6
12.69707 -5.269902614074645e-6
12.70425 -5.273527184571556e-6
12.71143 -5.2771241649834745e-6
12.71861 -5.280704622593876e-6
12.72579 -5.2842630987618495e-6
12.73297 -5.287805002963556e-6
12.74016 -5.291329815696455e-6
12.74734 -5.294833139686888e-6
12.75452 -5.2983144316827705e-6
12.7617 -5.301779251651248e-6
12.76888 -5.305227498692606e-6
12.77606 -5.308648254056957e-6
12.78324 -5.312057947999588e-6
12.79042 -5.315445609786916e-6
12.7976 -5.318822305843129e-6
12.80478 -5.322171417895457e-6
12.81197 -5.3255086786199625e-6
12.81915 -5.328824717088892e-6
12.82633 -5.3321242337919185e-6
12.83351 -5.335407271581475e-6
12.84069 -5.338668232781611e-6
12.84787 -5.341912716802937e-6
12.85505 -5.345135124025171e-6
12.86223 -5.348346516347429e-6
12.86941 -5.351541430905022e-6
12.87659 -5.354719779676042e-6
12.88377 -5.357876141187382e-6
12.89096 -5.361020294637114e-6
12.89814 -5.364143586903502e-6
12.90532 -5.367255819369234e-6
12.9125 -5.3703460189896436e-6
12.91968 -5.3734197399534455e-6
12.92686 -5.376476894984126e-6
12.93404 -5.379517568447394e-6
12.94122 -5.382547186556724e-6
12.9484 -5.385554772216386e-6
12.95558 -5.3885513857840405e-6
12.96277 -5.391530060440555e-6
12.96995 -5.394493606407546e-6
12.97713 -5.397440587775475e-6
12.98431 -5.40037655195274e-6
12.99149 -5.403285017100168e-6
12.99867 -5.406187937066655e-6
13.00585 -5.409074374323081e-6
13.01303 -5.411938737866788e-6
13.02021 -5.4147975943181e-6
13.02739 -5.4176399698641846e-6
13.03458 -5.420469704236274e-6
13.04176 -5.423273504364589e-6
13.04894 -5.42607175844495e-6
13.05612 -5.428847979477242e-6
13.0633 -5.431618735136246e-6
13.07048 -5.434372926680373e-6
13.07766 -5.437110633724881e-6
13.08484 -5.439831779200956e-6
13.09202 -5.44254194563528e-6
13.0992 -5.445241064090825e-6
13.10638 -5.447918146629277e-6
13.11357 -5.4505934675453275e-6
13.12075 -5.4532429925985065e-6
13.12793 -5.455887052280319e-6
13.13511 -5.458514546670853e-6
13.14229 -5.461125520615778e-6
13.14947 -5.463731024041328e-6
13.15665 -5.466314458675616e-6
13.16383 -5.468892421879419e-6
13.17101 -5.4714538290974225e-6
13.17819 -5.473998710497877e-6
13.18538 -5.476536132026973e-6
13.19256 -5.479058966907057e-6
13.19974 -5.48157081954543e-6
13.20692 -5.48406611350894e-6
13.2141 -5.486550394162523e-6
13.22128 -5.489023693273132e-6
13.22846 -5.491480434080738e-6
13.23564 -5.493931702583404e-6
13.24282 -5.496366414439305e-6
13.25 -5.498790109276159e-6
13.25718 -5.501202822727364e-6
13.26437 -5.503607823978728e-6
13.27155 -5.5059929780056955e-6
13.27873 -5.508361581683594e-6
13.28591 -5.510730219588599e-6
13.29309 -5.513082298278699e-6
13.30027 -5.5154233627937745e-6
13.30745 -5.51775344419481e-6
13.31463 -5.520072479423103e-6
13.32181 -5.522375020845039e-6
13.32899 -5.524672024352937e-6
13.33618 -5.526955675226479e-6
13.34336 -5.529230667631544e-6
13.35054 -5.531494607631658e-6
13.35772 -5.533742055684768e-6
13.3649 -5.535978459539518e-6
13.37208 -5.538209355876865e-6
13.37926 -5.5404237589242226e-6
13.38644 -5.542632623276484e-6
13.39362 -5.544830506193737e-6
13.4008 -5.547011831617727e-6
13.40798 -5.549187651567514e-6
13.41517 -5.551349980254194e-6
13.42235 -5.553503756655582e-6
13.42953 -5.555646543819915e-6
13.43671 -5.5577782878895626e-6
13.44389 -5.5599045241967605e-6
13.45107 -5.562014265670626e-6
13.45825 -5.5641184714229985e-6
13.46543 -5.566206182755037e-6
13.47261 -5.568288353646082e-6
13.47979 -5.5703650233238045e-6
13.48698 -5.572428061167414e-6
13.49416 -5.5744826835990544e-6
13.50134 -5.576520809614388e-6
13.50852 -5.57855340232419e-6
13.5157 -5.580575006942294e-6
13.52288 -5.5825910764011454e-6
13.53006 -5.584590621669232e-6
13.53724 -5.5865846873697545e-6
13.54442 -5.588567709689218e-6
13.5516 -5.590545251633952e-6
13.55879 -5.592514483583503e-6
13.56597 -5.594469957120365e-6
13.57315 -5.596419947186642e-6
13.58033 -5.598353387387553e-6
13.58751 -5.6002868579805224e-6
13.59469 -5.602209283400283e-6
13.60187 -5.604115185537121e-6
13.60905 -5.6060156060114335e-6
13.61623 -5.607910494328467e-6
13.62341 -5.609794391586853e-6
