 R   <X|d2/dR2|X>   <A|d2/dR2|A>   <B|d2/dR2|B>   <C|d2/dR2|C> 
2.52 -0.007950162649971735 -0.015164571845986404 -0.0059381427114380365 -0.0049564286594405834
2.53 -0.007481412105515624 -0.014665658016249476 -0.005835516473234735 -0.0048115593987297246
2.54 -0.007054524248038003 -0.014208973794575483 -0.00574652232603972 -0.004678719757366217
2.55 -0.006666911894243667 -0.013791988121566005 -0.005670666748046319 -0.004557423811215516
2.56 -0.006316131574637283 -0.013412313272574004 -0.005607464574028609 -0.004447193554254571
2.57 -0.005999883533523528 -0.013067704857703966 -0.005556438995341436 -0.0043475588985718416
2.58 -0.005716011729006962 -0.012756061821811805 -0.005517121559920422 -0.0042580576743672886
2.59 -0.005462503832992093 -0.01247542644450485 -0.0054890521722819295 -0.004178235629952359
2.6 -0.005237491231183341 -0.012223984340141884 -0.005471779093523088 -0.004107646431750008
2.61 -0.005039249023085095 -0.012000064457833155 -0.005464858941321794 -0.004045851664294684
2.62 -0.004866196022001645 -0.011802139081440352 -0.005467856689936711 -0.0039924208302323455
2.63 -0.004714399425034416 -0.011626427302160397 -0.005480191662693863 -0.003947059344084388
2.64 -0.004568067617233883 -0.01145776177666704 -0.005500567070922342 -0.003910145704832431
2.65 -0.004424692944603601 -0.011293732244161112 -0.005528533022055794 -0.0038814645862810583
2.66 -0.004284320490258722 -0.011134380726021721 -0.005563802570544781 -0.0038606815615327716
2.67 -0.004146997106787143 -0.010979751745731363 -0.005606092551796839 -0.0038474682582014734
2.68 -0.0040127714162494655 -0.010829892328875946 -0.005655123582176515 -0.0038415023584125016
2.69 -0.0038816938101790405 -0.010684852003144805 -0.005710620059005368 -0.003842467598802594
2.7 -0.0037538164495819425 -0.010544682798330684 -0.0057723101605619475 -0.003850053770519925
2.71 -0.0036291932649369788 -0.010409439246329734 -0.005839925846081798 -0.00386395671922407
2.72 -0.0035078799561956706 -0.0102791783811415 -0.005913202855757476 -0.003883878345086026
2.73 -0.0033899339927822925 -0.010153959738868974 -0.005991880710738527 -0.003909526602788206
2.74 -0.003275414613593826 -0.010033845357718544 -0.006075702713131524 -0.003940615501524451
2.75 -0.003164382827 -0.009918899778000001 -0.006164415945999999 -0.003976865105
2.76 -0.003056901410843259 -0.00980919004212655 -0.006257771273364516 -0.004018001531431521
2.77 -0.00295303491243878 -0.009704785694614823 -0.006355523340202644 -0.004063756953547104
2.78 -0.0028528496485744743 -0.009605758782084837 -0.006457430572448913 -0.004113869598586234
2.79 -0.002756413705510979 -0.009512183853260057 -0.006563255176994912 -0.004168083748299846
2.8 -0.0026637969389816663 -0.009424137958967328 -0.006672763141689173 -0.0042261497389502614
2.81 -0.002575070974192622 -0.009341700652136917 -0.006785724235337276 -0.004287823961311236
2.82 -0.0024903092058226758 -0.009264953987802492 -0.006901912007701752 -0.004352868860667928
2.83 -0.0024095867980233835 -0.009193982523101163 -0.007021103789502194 -0.0044210529368169365
2.84 -0.0023329806844190324 -0.009128873317273434 -0.007143080692415151 -0.0044921507440662525
2.85 -0.002260569568106627 -0.0090697159316632 -0.007267627609074183 -0.004565942891235302
2.86 -0.0021924339216559154 -0.009016602429717793 -0.007394533213069842 -0.004642216041654908
2.87 -0.0021286559871093683 -0.00896962737698797 -0.0075235899589497284 -0.004720762913167343
2.88 -0.0020695748047814006 -0.008928826869871013 -0.007654637626399822 -0.004801388471734834
2.89 -0.0020167004295498195 -0.008893827715675573 -0.007787765102546166 -0.004883967578976936
2.9 -0.0019701050261138582 -0.008864397527981745 -0.00792288904095991 -0.004968398806134826
2.91 -0.0019295961393348958 -0.008840355119292279 -0.008059887076324806 -0.005054579513883862
2.92 -0.0018949834982197344 -0.008821521403075086 -0.008198638251907945 -0.005142408292863701
2.93 -0.001866079015920591 -0.008807719393763265 -0.008339023019559834 -0.005231784963678347
2.94 -0.0018426967897351093 -0.008798774206755107 -0.00848092323971434 -0.005322610576896116
2.95 -0.0018246531011063512 -0.008794513058414083 -0.008624222181388745 -0.00541478741304968
