 R   <X|d2/dR2|A>   <X|d2/dR2|B>   <X|d2/dR2|C>   <A|d2/dR2|B>   <A|d2/dR2|C>   <B|d2/dR2|C> 
0.85 -0.3855539584252995 -0.051835655205462836 -0.09064330525564443 0.044817642849234965 0.1494995021893634 -0.1401619794430492
0.86 -0.38695343583039465 -0.054586803248730026 -0.09581759071257873 0.04719631386129793 0.16074072366478526 -0.14760099712222707
0.87 -0.38835291323549537 -0.05733795129199735 -0.10099187616951238 0.04957498487336098 0.171981945140208 -0.1550400148014055
0.88 -0.3895999663305002 -0.0595346152850833 -0.10440759860277118 0.051535684624720794 0.1821200376751651 -0.1609373486980234
0.89 -0.39069459511544247 -0.06117679522799094 -0.1060647580123408 0.053078413115379905 0.19115500126964635 -0.16529299881208864
0.9 -0.3917892239002376 -0.06281897517088364 -0.10772191742198572 0.054621141606027684 0.2001899648641713 -0.16964864892611375
0.91 -0.3928838526859196 -0.06446115511386236 -0.10937907683119026 0.05616387009674157 0.2092249284584487 -0.17400429904037773
0.92 -0.3939784814664237 -0.06610333505633934 -0.11103623624296002 0.05770659858706839 0.21825989205416663 -0.17835994915325132
0.93 -0.3950731102770896 -0.06774551500174152 -0.11269339563978364 0.05924932707965243 0.227294855641478 -0.1827155992742238
0.94 -0.39616773891197515 -0.06938769493009417 -0.11435055512371745 0.06079205555908097 0.23632981927779984 -0.18707124934799008
0.95 -0.39726236857145847 -0.07102987495781966 -0.11600771409993214 0.06233478411518609 0.2453647826284708 -0.19142689969690077
0.96 -0.39835699225904375 -0.07267205440635835 -0.11766487603535267 0.0638775122243857 0.25439974764402695 -0.19578254844215479
0.97 -0.3994516507533932 -0.07431423723064302 -0.11932202072326013 0.06542024293834081 0.2634347029559272 -0.20013820653419362
0.98 -0.40054610637911237 -0.07595640037963869 -0.12097926593703874 0.06696295847067033 0.2724697148248767 -0.20449381014918927
0.99 -0.4016417444098349 -0.07759867820462199 -0.12263592524310277 0.06850576248799656 0.2815043970551736 -0.20884973127965392
1.0 -0.4027304908791616 -0.07924028764896911 -0.12429599946958456 0.07004805077696702 0.29054100056034493 -0.21320380179434079
1.0833333333333333 -0.4119908239525921 -0.09293854585507286 -0.13803706782123457 0.0829144806490382 0.3657937723873814 -0.24953805825304093
1.1666666666666667 -0.4094607496487035 -0.09985593169884843 -0.11590164086693469 0.0904949999457384 0.3551672168999318 -0.2671286881686903
1.25 -0.40257081807478423 -0.10071309983695506 -0.05420771741320665 0.09334567211513556 0.2565897964021333 -0.2679710439001822
1.375 -0.34584519124761326 -0.09749962994978503 0.01534553982663526 0.09415004117523604 0.1216567787413626 -0.2567771079783586
1.5 -0.16575003443953668 -0.08232112046433486 0.023766478453394694 0.08572208083344908 0.02111753114969052 -0.2124543082296663
1.51 -0.14755802863612472 -0.08073980892242585 0.022564903354227096 0.08476463983765031 0.014129429418716519 -0.2078922475099797
1.52 -0.13056842881881958 -0.07927511317080721 0.02195914689728238 0.08389718060752831 0.0068061130279892185 -0.20365307319656617
1.53 -0.11337252874926973 -0.07779040931274801 0.021251164122761276 0.08301428294714898 -0.0004596896197306408 -0.19935850033404712
1.54 -0.09621202420714561 -0.07630913830304335 0.020560720611472755 0.08213403410263942 -0.007735360065697076 -0.19507343235987806
1.55 -0.07904544675262073 -0.07482727830967477 0.01986726783836169 0.08125333079317495 -0.015009337465150804 -0.1907867336046946
1.56 -0.061879911245146746 -0.07334551936992444 0.019174331372954507 0.08037270545756668 -0.02228360534546612 -0.18650031464729472
