 {R}   <|d/dR|>_50 
2.2103836 -0.007601565153999998
2.2104296 -0.007613367150500001
2.2104756 -0.007625162060099998
2.2105217 -0.007636975500800002
2.2105677 -0.0076487562213
2.2106137 -0.007660529855299999
2.2106598 -0.007672321974499997
2.2107058 -0.007684081420000001
2.2107518 -0.0076958337793
2.2107979 -0.007707604577800002
2.2108439 -0.007719342749299999
2.2108899 -0.007731073834699998
2.210936 -0.0077428233134
2.210982 -0.007754540211700003
2.211028 -0.0077662500242
2.2110741 -0.0077779781841000005
2.2111201 -0.00778967381
2.2111661 -0.007801362350500001
2.2112122 -0.007813069192400001
2.2112582 -0.007824743546900001
2.2113042 -0.007836410816199998
2.2113503 -0.007848096340999998
2.2113963 -0.007859749425
2.2114423 -0.007871395424099998
2.2114883 -0.007883034338499998
2.2115344 -0.0078946914471
2.2115804 -0.007906316176899998
2.2116264 -0.007917933822199998
2.2116725 -0.007929569615799999
2.2117185 -0.007941173077200001
2.2117645 -0.007952769454399999
2.2118106 -0.007964383933899997
2.2118566 -0.0079759661277
2.2119026 -0.0079875412376
2.2119487 -0.007999134403900002
2.2119947 -0.0080106953311
2.2120407 -0.0080222491746
2.2120868 -0.0080338210287
2.2121328 -0.00804536069
2.2121788 -0.008056893268100001
2.2122249 -0.008068443810800002
2.2122709 -0.0080799622073
2.2123169 -0.008091473520800002
2.212363 -0.0081030027529
2.212409 -0.0081144998854
2.212455 -0.008125989935300003
2.212501 -0.008137472902599996
2.2125471 -0.0081489737273
2.2125931 -0.0081604425143
2.2126391 -0.0081719042191
2.2126852 -0.008183383735399999
2.2127312 -0.0081948312606
2.2127772 -0.008206271703799999
2.2128233 -0.008217729912599999
2.2128693 -0.008229156176800001
2.2129153 -0.0082405753593
2.2129614 -0.008252012261399998
2.2130074 -0.0082634172653
2.2130534 -0.008274815187800003
2.2130995 -0.0082862307837
2.2131455 -0.008297614527900002
2.2131915 -0.0083089911908
2.2132376 -0.0083203854811
2.2132836 -0.0083317479661
2.2133296 -0.008343103369900002
2.2133757 -0.008354476355100001
2.2134217 -0.0083658175813
2.2134677 -0.008377151726399999
2.2135137 -0.008388478790699998
2.2135598 -0.0083998233749
2.2136058 -0.008411136262
2.2136518 -0.0084224420683
2.2136979 -0.008433765348500002
2.2137439 -0.008445056978
2.2137899 -0.0084563415268
2.213836 -0.0084676435036
2.213882 -0.008478913875900001
2.213928 -0.008490177167800001
2.2139741 -0.008501457841599998
2.2140201 -0.0085127069573
2.2140661 -0.0085239489926
2.2141122 -0.0085352083639
2.2141582 -0.008546436223399997
2.2142042 -0.0085576570029
2.2142503 -0.008568895072100001
2.2142963 -0.008580101676
2.2143423 -0.0085913011999
2.2143884 -0.008602517967599999
2.2144344 -0.008613703316300002
2.2144804 -0.008624881585300002
2.2145264 -0.0086360527744
2.2145725 -0.008647241146000002
2.2146185 -0.0086583981604
2.2146645 -0.008669548095200002
2.2147106 -0.0086807151664
2.2147566 -0.0086918509268
2.2148026 -0.008702979607700001
2.2148487 -0.008714125379
2.2148947 -0.008725239885900002
2.2149407 -0.0087363473135
2.2149868 -0.008747471785400002
