 R   <X|H|X>   <A|H|A>   <B|H|B>   <C|H|C> 
0.88 1.524022223204155 1.6638707407580096 1.7264566485825694 1.7108126713194685
0.89 1.4803868846671373 1.6202045047327662 1.6828215731275704 1.667177445855292
0.9 1.438325517649269 1.5781044544948148 1.6407583256124265 1.6251141458270038
0.91 1.3977927617822605 1.5375253938149904 1.6002208224591699 1.584576698304977
0.92 1.3587432566978213 1.4984221264641275 1.5611629800898321 1.545519030359584
0.93 1.321131642027662 1.460749456213061 1.5235387149264448 1.507895069061198
0.94 1.284912557403492 1.4244621868326257 1.4873019433910397 1.471658741480192
0.95 1.2500406424570212 1.3895151220936557 1.4524065819056478 1.4367639746869383
0.96 1.2164705368199589 1.3558630657669857 1.4188065468923012 1.4031646957518094
0.97 1.1841568801240157 1.3234608216234498 1.386455754773031 1.3708148317451778
0.98 1.1530543120009018 1.2922631934338844 1.3553081219698704 1.3396683097374176
0.99 1.1231174720823263 1.2622249849691227 1.3253175649048492 1.3096790567989005
1.0 1.0943009999999997 1.233301 1.2964380000000002 1.2808009999999999
1.0833333333333333 0.8925067040770746 1.0304187153829942 1.0938175133479011 1.0781954345104743
1.1666666666666667 0.7442104541928467 0.8808636453827953 0.9445416379036867 0.9289135155337349
1.25 0.6282569999999998 0.7637249999999999 0.8280029999999999 0.8123119999999997
1.375 0.4810655869852405 0.6152715110144925 0.6814555117782979 0.6655205835200053
1.5 0.36188600000000004 0.49542800000000004 0.5643910000000002 0.548095
1.51 0.3536458096942561 0.48715703870001886 0.5563641523620355 0.5400369439731162
1.52 0.3455985637785727 0.47908217900212163 0.5485353208494415 0.5321767813198681
1.53 0.3377397559227867 0.47119899592886216 0.5408998095288865 0.524509857861378
1.54 0.3300648797967359 0.46350306450279494 0.5334529224670398 0.5170315194187686
1.55 0.3225694290702567 0.4559899597464737 0.5261899637305695 0.509737111813162
1.56 0.3152488974131866 0.44865525668245254 0.5191062373861444 0.5026219808656802
1.57 0.3080987784953629 0.44149453033328556 0.5121970475004333 0.49568147239744603
1.58 0.3011145659866226 0.43450335572152715 0.5054576981401048 0.48891093222958176
1.59 0.2942917535568027 0.42767730786973085 0.4988834933718276 0.4823057061832095
1.6 0.2876258348757407 0.42101196180045125 0.49246973726227045 0.47586114007945174
1.61 0.2811123036132735 0.414502892536242 0.4862117338781018 0.4695725797394307
1.62 0.2747466534392383 0.40814567509965743 0.4801047872859903 0.4634353709842687
1.63 0.26852437802347245 0.40193588451325163 0.4741442015526051 0.45744485963508824
1.64 0.26244097103581276 0.3958690957995785 0.4683252807446144 0.45159639151301145
1.65 0.25649192614609656 0.3899408839811921 0.46264332892868687 0.4458853124391608
1.66 0.25067273702416093 0.3841468240806466 0.4570936501714912 0.44030696823465837
1.67 0.24497889733984324 0.3784824911204962 0.4516715485396964 0.4348567047206269
1.68 0.23940590076298032 0.3729434601232946 0.4463723280999707 0.4295298677181883
1.69 0.23394924096340966 0.3675253061115964 0.44119129291898307 0.4243218030484652
1.7 0.22860441161096826 0.3622236041079553 0.4361237470634021 0.4192278565325799
1.71 0.2233669063754931 0.35703392913492543 0.4311649945998964 0.41424337399165445
1.72 0.21823221892682154 0.3519518562150608 0.42631033959513454 0.4093637012468114
1.73 0.21319584293479085 0.34697296037091574 0.4215550861157855 0.4045841841191732
1.74 0.2082532720692379 0.3420928166250441 0.4168945382285177 0.39990016842986187
1.75 0.20339999999999997 0.337307 0.4123239999999999 0.39530699999999996
1.76 0.1986319150022682 0.3326114454646023 0.407839165059884 0.3908004103354869
1.77 0.1939464837726492 0.3280035277727288 0.40343728528975503 0.38637767368133075
1.78 0.1893415676131036 0.32348098162452166 0.3991160021341809 0.3820364499673163
1.79 0.1848150278255922 0.31904154172012383 0.3948729570377302 0.37777439912322913
1.8 0.1803647257120754 0.31468294275967745 0.3907057914449709 0.373589181078854
1.81 0.17598852257451397 0.3104029194433251 0.386612146800471 0.3694784557639762
1.82 0.17168427971486844 0.3061992064712093 0.38258966454879906 0.36543988310838077
1.83 0.1674498584350996 0.3020695385434725 0.37863598613452326 0.3614711230418531
1.84 0.16328312003716794 0.29801165036025723 0.3747487530022114 0.35756983549417787
1.85 0.1591819258230342 0.2940232766217059 0.3709256065964321 0.3537336803951406
1.86 0.15514413709465888 0.290102152027961 0.3671641883617534 0.3499603176745262
1.87 0.1511676151540027 0.28624601127916505 0.36346213974274333 0.3462474072621198
1.88 0.14725022130302637 0.2824525890754606 0.35981710218397034 0.34259260908770667
1.89 0.14338981684369034 0.27871962011699 0.35622671713000253 0.33899358308107175
1.9 0.13958426307795532 0.2750448391038957 0.35268862602540807 0.3354479891720003
1.91 0.13583142130778197 0.27142598073632024 0.34920047031475504 0.3319534872902773
1.92 0.1321291528351309 0.26786077971440625 0.3457598914426119 0.328507737365688
1.93 0.12847531896196268 0.264346970738296 0.3423645308535465 0.3251083993280174
1.94 0.12486778099023807 0.2608822885081321 0.3390120299921274 0.32175313310705084
1.95 0.12130440022191764 0.257464467724057 0.3357000303029226 0.3184395986325733
1.96 0.11778303795896197 0.2540912430862131 0.33242617323050033 0.31516545583436983
1.97 0.11430155550333174 0.250760349294743 0.3291881002194286 0.3119283646422256
1.98 0.11085781415698762 0.24746952104978914 0.32598345271427603 0.30872598498592596
1.99 0.10744967522189015 0.24421649305149395 0.3228098721596104 0.3055559767952557
2.0 0.10407500000000004 0.24099900000000002 0.3196650000000001 0.30241600000000013
2.125 0.06474598092406512 0.20368396422705776 0.2827889392300432 0.26570036938167985
2.25 0.03155300000000006 0.172118 0.25127000000000005 0.23446800000000004
2.26 0.029199580195047384 0.16985741315310984 0.24901681315440305 0.23224069681276838
2.27 0.02689254997602867 0.16763644367141667 0.2468050508080909 0.23005510160343193
