<|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|> <|d/dR|>
0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.99744 -0.542299 0.218427 -0.0298313 -0.171962 -0.142865 -0.106078 0.382317 -0.0677506 -0.0782956 0.165429 0.174895 -0.0526938 -0.230241 0.220188 0.384525 0.178407 0.0384716 -0.145235 0.0503872 -0.989172 -0.139823 -0.393849 -0.503793 -0.0121844 -0.065675 -0.139767 0.142193 0.222252 0.452824 0.14927 0.0163436 -0.0630296 -0.169915 0.123288 0.24071 0.17945 -0.396238 -0.0643772 -0.130958 -0.00865965 0.463205 -0.114068 -0.025104 0.0721666 -0.019251 -0.50276 0.10523 -0.0825638 0.026622 0.121298 -0.0563632 0.00422443 0.274078 -0.078435 2.65747
2.00462 -0.543066 0.213421 -0.0280741 -0.170453 -0.141566 -0.103963 0.381857 -0.0665093 -0.0813666 0.162506 0.174232 -0.0523039 -0.229642 0.219046 0.380337 0.173648 0.0397887 -0.144857 0.0481144 -1.03432 -0.137123 -0.396371 -0.504885 -0.0123861 -0.0645227 -0.142639 0.139916 0.237782 0.438291 0.151136 0.0138533 -0.0640418 -0.173978 0.119032 0.244016 0.169185 -0.37936 -0.0618222 -0.130391 -0.0106518 0.452754 -0.106953 -0.0245767 0.0708884 -0.0181268 -0.501597 0.106589 -0.0835576 0.0261624 0.11473 -0.0534921 0.00166687 0.267929 -0.0681681 2.64022
2.0118 -0.543764 0.208664 -0.0264037 -0.168989 -0.140323 -0.101858 0.381358 -0.0652761 -0.0843392 0.159542 0.173491 -0.0519749 -0.22902 0.217852 0.376187 0.16902 0.041047 -0.144437 0.0458483 -1.08286 -0.134375 -0.398808 -0.50572 -0.0125721 -0.063437 -0.14555 0.137586 0.252684 0.4245 0.15322 0.0115311 -0.0649787 -0.177746 0.114709 0.24692 0.159626 -0.363413 -0.05942 -0.129835 -0.0126353 0.442902 -0.100291 -0.0240818 0.0696307 -0.0170747 -0.500271 0.107885 -0.0845858 0.0256427 0.108287 -0.0506036 -0.0007517 0.261685 -0.0582016 2.62901
2.01898 -0.544391 0.204143 -0.0248231 -0.167567 -0.139132 -0.0997654 0.380823 -0.0640509 -0.0872185 0.156534 0.172668 -0.0517101 -0.228373 0.216608 0.372076 0.164519 0.0422478 -0.143977 0.0435855 -1.13506 -0.131572 -0.401149 -0.506295 -0.0127419 -0.0624193 -0.148506 0.135195 0.266982 0.411461 0.155534 0.0093691 -0.0658413 -0.181223 0.11032 0.249359 0.150722 -0.348345 -0.0571643 -0.129289 -0.0146159 0.43361 -0.0940558 -0.0236176 0.0683974 -0.0160867 -0.498818 0.109115 -0.085646 0.025059 0.101976 -0.0477009 -0.00303604 0.255345 -0.0484952 2.62227
2.02616 -0.544945 0.199848 -0.0233356 -0.166182 -0.137991 -0.0976871 0.380251 -0.0628333 -0.0900077 0.15348 0.171763 -0.0515127 -0.227698 0.215315 0.368006 0.160144 0.0433923 -0.143478 0.0413239 -1.19121 -0.128702 -0.403383 -0.506605 -0.0128947 -0.0614717 -0.151515 0.132737 0.280698 0.399184 0.158088 0.00736017 -0.0666306 -0.184407 0.105865 0.251282 0.142425 -0.334107 -0.0550489 -0.128749 -0.0165976 0.424839 -0.0882227 -0.0231826 0.0671913 -0.0151559 -0.497271 0.110278 -0.0867354 0.0244086 0.0958024 -0.0447865 -0.0051899 0.248902 -0.0390141 2.61855
2.03335 -0.545422 0.195769 -0.0219446 -0.164831 -0.136898 -0.0956248 0.379646 -0.0616234 -0.0927081 0.150381 0.170774 -0.0513861 -0.226994 0.213975 0.363978 0.155894 0.0444818 -0.14294 0.039063 -1.25162 -0.125756 -0.405497 -0.506644 -0.0130301 -0.0605958 -0.154581 0.130206 0.293855 0.387681 0.160892 0.00549745 -0.0673474 -0.187298 0.101348 0.252653 0.134694 -0.320654 -0.0530679 -0.128215 -0.018583 0.416556 -0.0827694 -0.0227756 0.0660146 -0.0142762 -0.495657 0.111374 -0.0878509 0.0236895 0.0897698 -0.0418629 -0.00721627 0.242349 -0.0297286 2.6165
2.04053 -0.54582 0.191897 -0.0206538 -0.163508 -0.13585 -0.0935801 0.379007 -0.0604208 -0.0953195 0.147236 0.1697 -0.051334 -0.226259 0.21259 0.359994 0.151766 0.0455175 -0.142362 0.0368037 -1.31661 -0.122723 -0.407479 -0.506406 -0.0131475 -0.0597941 -0.157706 0.127598 0.306477 0.37696 0.163959 0.00377453 -0.0679922 -0.189891 0.0967744 0.253444 0.127489 -0.307943 -0.0512157 -0.127683 -0.0205736 0.408725 -0.0776749 -0.0223952 0.064869 -0.0134424 -0.494003 0.112401 -0.0889895 0.0229007 0.0838827 -0.0389325 -0.00911752 0.235675 -0.0206138 2.61489
2.04771 -0.546136 0.188221 -0.0194675 -0.162212 -0.134845 -0.0915542 0.378337 -0.0592256 -0.0978402 0.144047 0.168539 -0.0513601 -0.22549 0.211161 0.356054 0.147758 0.0465004 -0.141743 0.034548 -1.3865 -0.11959 -0.409313 -0.505882 -0.0132465 -0.0590687 -0.160894 0.12491 0.318585 0.367032 0.1673 0.00218536 -0.068565 -0.192181 0.0921507 0.25364 0.120772 -0.295934 -0.0494869 -0.127151 -0.0225696 0.401319 -0.0729203 -0.0220405 0.0637556 -0.0126497 -0.492331 0.11336 -0.0901477 0.0220421 0.078145 -0.0359976 -0.0108956 0.228865 -0.0116485 2.61256
2.05489 -0.546368 0.184734 -0.0183898 -0.160938 -0.133881 -0.0895483 0.377636 -0.0580376 -0.100267 0.140815 0.167289 -0.051468 -0.224685 0.20969 0.35216 0.143869 0.0474317 -0.141083 0.0322991 -1.46164 -0.116344 -0.410985 -0.505064 -0.0133268 -0.0584221 -0.164146 0.12214 0.330205 0.357908 0.170928 0.00072426 -0.0690659 -0.194161 0.0874853 0.253229 0.114512 -0.28459 -0.0478764 -0.126616 -0.02457 0.394308 -0.0684879 -0.0217105 0.062675 -0.011894 -0.49066 0.114249 -0.0913223 0.0211145 0.0725598 -0.0330608 -0.0125522 0.221907 -0.00281511 2.60846
2.06207 -0.546513 0.181428 -0.0174256 -0.159684 -0.132956 -0.0875634 0.376906 -0.0568569 -0.102598 0.137543 0.165948 -0.0516617 -0.223845 0.20818 0.348313 0.140096 0.0483124 -0.140381 0.0300614 -1.54239 -0.112972 -0.412475 -0.503942 -0.0133881 -0.057857 -0.167463 0.119287 0.341357 0.349596 0.174857 -0.00061415 -0.0694945 -0.195823 0.0827888 0.252208 0.108678 -0.273874 -0.0463792 -0.126077 -0.0265728 0.387666 -0.0643615 -0.0214044 0.0616275 -0.0111719 -0.48901 0.115068 -0.0925097 0.0201194 0.0671303 -0.0301249 -0.0140889 0.214785 0.00590056 2.60159
