C1 C8 C9
2.9022414000e+00 1.8179704000e-01 1.8687722000e-01
2.9094224000e+00 1.8093914000e-01 1.8611771000e-01
2.9166033000e+00 1.8009050000e-01 1.8536684000e-01
2.9237843000e+00 1.7925104000e-01 1.8462450000e-01
2.9309652000e+00 1.7842066000e-01 1.8389062000e-01
2.9381462000e+00 1.7759928000e-01 1.8316510000e-01
2.9453272000e+00 1.7678679000e-01 1.8244786000e-01
2.9525081000e+00 1.7598312000e-01 1.8173882000e-01
2.9596891000e+00 1.7518818000e-01 1.8103789000e-01
2.9668700000e+00 1.7440186000e-01 1.8034498000e-01
2.9740510000e+00 1.7362409000e-01 1.7966002000e-01
2.9812319000e+00 1.7285478000e-01 1.7898292000e-01
2.9884129000e+00 1.7209383000e-01 1.7831359000e-01
2.9955939000e+00 1.7134117000e-01 1.7765196000e-01
3.0027748000e+00 1.7059669000e-01 1.7699794000e-01
3.0099558000e+00 1.6986033000e-01 1.7635146000e-01
3.0171367000e+00 1.6913198000e-01 1.7571242000e-01
3.0243177000e+00 1.6841156000e-01 1.7508076000e-01
3.0314987000e+00 1.6769900000e-01 1.7445639000e-01
3.0386796000e+00 1.6699420000e-01 1.7383925000e-01
3.0458606000e+00 1.6629711000e-01 1.7322925000e-01
3.0530415000e+00 1.6560763000e-01 1.7262635000e-01
3.0602225000e+00 1.6492570000e-01 1.7203045000e-01
3.0674035000e+00 1.6425124000e-01 1.7144151000e-01
3.0745844000e+00 1.6358418000e-01 1.7085944000e-01
3.0817654000e+00 1.6292445000e-01 1.7028419000e-01
3.0889463000e+00 1.6227197000e-01 1.6971568000e-01
3.0961273000e+00 1.6162668000e-01 1.6915385000e-01
3.1033083000e+00 1.6098849000e-01 1.6859864000e-01
3.1104892000e+00 1.6035734000e-01 1.6804997000e-01
3.1176702000e+00 1.5973317000e-01 1.6750779000e-01
3.1248511000e+00 1.5911589000e-01 1.6697203000e-01
3.1320321000e+00 1.5850544000e-01 1.6644262000e-01
3.1392131000e+00 1.5790175000e-01 1.6591951000e-01
3.1463940000e+00 1.5730475000e-01 1.6540263000e-01
3.1535750000e+00 1.5671438000e-01 1.6489191000e-01
3.1607559000e+00 1.5613056000e-01 1.6438731000e-01
3.1679369000e+00 1.5555324000e-01 1.6388875000e-01
3.1751178000e+00 1.5498233000e-01 1.6339617000e-01
3.1822988000e+00 1.5441778000e-01 1.6290952000e-01
3.1894798000e+00 1.5385952000e-01 1.6242873000e-01
3.1966607000e+00 1.5330749000e-01 1.6195374000e-01
3.2038417000e+00 1.5276161000e-01 1.6148450000e-01
3.2110226000e+00 1.5222183000e-01 1.6102094000e-01
3.2182036000e+00 1.5168809000e-01 1.6056302000e-01
