# Data
     {R}           <X|d/dR|A>      <X|d/dR|B>     <X|d/dR|C>       <A|d/dR|B>     <A|d/dR|C>      <B|d/dR|C>
1.60000000e+01  4.76000000e-04  6.27900000e-03  1.64200000e-03  -7.33250000e-02 -9.20700000e-03 -6.45000000e-03
1.62500000e+01  3.35000000e-04  5.62000000e-03  1.47400000e-03  -6.45810000e-02 -8.53300000e-03 -6.91900000e-03
1.65000000e+01  2.29000000e-04  5.02300000e-03  1.32100000e-03  -5.69590000e-02 -7.90100000e-03 -7.40800000e-03
1.67500000e+01  1.49000000e-04  4.48500000e-03  1.18200000e-03  -5.03190000e-02 -7.30900000e-03 -7.93400000e-03
1.70000000e+01  8.90000000e-05  4.00000000e-03  1.05700000e-03  -4.45360000e-02 -6.75700000e-03 -8.51300000e-03
1.72500000e+01  4.30000000e-05  3.56500000e-03  9.45000000e-04  -3.95020000e-02 -6.24400000e-03 -9.16300000e-03
1.75000000e+01  9.00000000e-06  3.17500000e-03  8.44000000e-04  -3.51130000e-02 -5.77000000e-03 -9.90800000e-03
1.77500000e+01  -1.70000000e-05 2.82500000e-03  7.53000000e-04  -3.12760000e-02 -5.33100000e-03 -1.07690000e-02
1.80000000e+01  -3.70000000e-05 2.51200000e-03  6.73000000e-04  -2.79060000e-02 -4.92600000e-03 -1.17740000e-02
1.82500000e+01  -5.10000000e-05 2.23200000e-03  6.01000000e-04  -2.49330000e-02 -4.55500000e-03 -1.29510000e-02
1.85000000e+01  -6.10000000e-05 1.98200000e-03  5.36000000e-04  -2.23030000e-02 -4.21300000e-03 -1.43330000e-02
1.87500000e+01  -6.80000000e-05 1.75800000e-03  4.79000000e-04  -1.99700000e-02 -3.89900000e-03 -1.59600000e-02
1.90000000e+01  -7.20000000e-05 1.55700000e-03  4.27000000e-04  -1.78980000e-02 -3.60800000e-03 -1.78720000e-02
1.92500000e+01  -7.40000000e-05 1.37700000e-03  3.80000000e-04  -1.60510000e-02 -3.33900000e-03 -2.01290000e-02
1.95000000e+01  -7.50000000e-05 1.21600000e-03  3.39000000e-04  -1.44020000e-02 -3.09000000e-03 -2.28400000e-02
1.97500000e+01  -7.40000000e-05 1.07000000e-03  3.01000000e-04  -1.29260000e-02 -2.86200000e-03 -2.61340000e-02
2.00000000e+01  -7.30000000e-05 9.40000000e-04  2.68000000e-04  -1.16030000e-02 -2.65300000e-03 -3.01490000e-02
2.02500000e+01  -7.20000000e-05 8.24000000e-04  2.39000000e-04  -1.04140000e-02 -2.46500000e-03 -3.50690000e-02
2.05000000e+01  -7.10000000e-05 7.22000000e-04  2.14000000e-04  -9.34900000e-03 -2.30300000e-03 -4.12150000e-02
2.07500000e+01  -7.10000000e-05 6.34000000e-04  1.94000000e-04  -8.39600000e-03 -2.17300000e-03 -4.90140000e-02
2.10000000e+01  -7.00000000e-05 5.57000000e-04  1.76000000e-04  -7.54200000e-03 -2.06500000e-03 -5.89980000e-02
2.12500000e+01  -6.80000000e-05 4.88000000e-04  1.63000000e-04  -6.77000000e-03 -1.97600000e-03 -7.19470000e-02
2.15000000e+01  -6.60000000e-05 4.27000000e-04  1.53000000e-04  -6.07200000e-03 -1.91000000e-03 -8.90540000e-02
2.17500000e+01  -6.50000000e-05 3.75000000e-04  1.43000000e-04  -5.44300000e-03 -1.86500000e-03 -1.08409000e-01
2.20000000e+01  -6.50000000e-05 3.29000000e-04  1.36000000e-04  -4.86800000e-03 -1.84900000e-03 -1.43548000e-01
2.22500000e+01  -6.40000000e-05 2.87000000e-04  1.32000000e-04  -4.33200000e-03 -1.86800000e-03 -2.06659000e-01
