 R   <X|d/dR|A>   <X|d/dR|B>   <X|d/dR|C>   <A|d/dR|B>   <A|d/dR|C>   <B|d/dR|C> 
0.43 -0.17920588742189167 -0.00017848911695343797 0.021004630182550135 0.00015432353395335288 0.04148648552986887 -0.0004826289518686222
0.44 -0.1669544083009437 -0.0001670819177496468 0.021176046449078882 0.00014446075170821378 0.04042734848472687 -0.0004517842444183718
0.45 -0.15553409424784068 -0.00015097763652076508 0.021352008237119472 0.00013053682383272328 0.03936951971511464 -0.00040823877507684196
0.46 -0.14494494526258261 -0.000130176273266793 0.021532515546671897 0.00011255175032688137 0.03831299922103217 -0.0003519925438440325
0.47 -0.13518696134516958 -0.00010467782798773061 0.02171756837773617 9.05055311906882e-5 0.03725778700247949 -0.00028304555071994404
0.48 -0.1262601424956014 -7.448230068357749e-5 0.021907166730312268 6.439816642414355e-5 0.03620388305945656 -0.00020139779570457555
0.49 -0.11816448871387823 -3.958969135433392e-5 0.02210131060440021 3.4229656027247486e-5 0.035151287391963396 -0.00010704927879792757
0.5 -0.1109 1.6263032587282567e-19 0.022299999999999993 -5.421010862427522e-20 0.0341 1.0842021724855044e-19
0.51 -0.10446667635396673 4.428677337942462e-5 0.02250323491711161 -3.829080165759888e-5 0.033050020883566365 0.00011975004068920728
0.52 -0.09886451777577841 9.327062878393964e-5 0.022711015355735067 -8.064274894554918e-5 0.0320013500426625 0.0002522008432696938
0.53 -0.09409352426543506 0.0001469515662135451 0.022923341315870364 -0.00012705584186385082 0.030953987477288402 0.00039735240774145997
0.54 -0.09015369582293667 0.0002053295856682412 0.0231402127975175 -0.00017753008041250396 0.029907933187444065 0.000555204734104506
0.55 -0.08704503244828322 0.0002684046871480277 0.02336162980067647 -0.00023206546459150843 0.028863187173129502 0.0007257578223588314
0.56 -0.08476753414147475 0.0003361768706529045 0.02358759232534728 -0.0002906619944008642 0.027819749434344704 0.0009090116725044362
0.57 -0.08332120090251124 0.0004086461361828711 0.023818100371529934 -0.00035331966984057086 0.026777619971089683 0.0011049662845413187
0.58 -0.08270603273139267 0.0004858124837379291 0.02405315393922442 -0.0004200384909106294 0.025736798783364413 0.0013136216584694826
0.59 -0.08292202962811905 0.0005676759133180774 0.024292753028430744 -0.0004908184576110394 0.024697285871168914 0.0015349777942889257
0.6 -0.0839691915926904 0.0006542364249233161 0.02453689763914891 -0.0005656595699418008 0.023659081234503183 0.0017690346919996486
0.61 -0.0858475186251067 0.0007454940185536456 0.024785587771378917 -0.0006445618279029137 0.022622184873367215 0.002015792351601651
0.62 -0.08855701072536797 0.0008414486942090652 0.025038823425120753 -0.0007275252314943778 0.021586596787761012 0.002275250773094933
0.63 -0.09199552160674994 0.0009380743815823551 0.02528956855336429 -0.000811068798747321 0.02056620497008764 0.0025365235891441126
0.64 -0.09555017354890713 0.0010112146588301925 0.025495606874048633 -0.0008743066378485067 0.019644337374765432 0.0027342925957368936
0.65 -0.09911882026511529 0.0010568434556453572 0.025649902340163632 -0.0009137577668290632 0.018834881994197448 0.002857671425537895
0.66 -0.10270146175537441 0.0010749607720278488 0.025752454951709292 -0.00092942218568899 0.01813783882838369 0.002906660078547116
0.67 -0.1062980980196845 0.0010655666079776678 0.025803264708685617 -0.0009212998944282868 0.01755320787732416 0.002881258554764556
0.68 -0.10990872905804555 0.0010286609634948137 0.025802331611092605 -0.0008893908930469545 0.01708098914101885 0.0027814668541902166
0.69 -0.11353335487045756 0.0009642438385792879 0.02574965565893025 -0.0008336951815449932 0.01672118261946777 0.0026072849768240995
0.7 -0.11717197545692054 0.0008723152332310885 0.02564523685219856 -0.0007542127599224017 0.016473788312670917 0.0023587129226662
0.71 -0.1208245908174345 0.0007528751474502163 0.025489075190897527 -0.0006509436281791805 0.01633880622062828 0.00203575069171652
0.72 -0.12449120095199943 0.0006059235812366712 0.025281170675027154 -0.0005238877863153297 0.016316236343339875 0.0016383982839750602
0.73 -0.12817180586061533 0.00043146053459045355 0.02502152330458745 -0.00037304523433084956 0.016406078680805694 0.0011666556994418204
0.74 -0.1318664055432822 0.00022948600751156265 0.024710133079578398 -0.00019841597222573955 0.016608333233025734 0.0006205229381168
0.75 -0.13557500000000003 -8.673617379884035e-19 0.02434700000000001 0.0 0.016923000000000004 -8.673617379884035e-19
0.76 -0.13929758923076885 -0.00025699748794423744 0.02393212406585228 0.00022220268234636941 0.017350078981728495 -0.0006949131149085819
0.77 -0.14303417323558862 -0.0005415064563211466 0.02346550527713522 0.00046819207481336826 0.017889570178211217 -0.0014642164066089427
0.78 -0.14678475201445934 -0.0008535269051307289 0.022947143633848806 0.0007379681774009965 0.01854147358944816 -0.002307909875101085
0.79 -0.15054932556738104 -0.0011930588343729836 0.022377039135993065 0.0010315309901092547 0.019305789215439333 -0.0032259935203850067
0.8 -0.1543278938943537 -0.0015601022440479115 0.02175519178356798 0.0013488805129381425 0.020182517056184728 -0.004218467342460707
0.81 -0.15812045699537736 -0.0019546571341555116 0.021081601576573558 0.0016900167458876597 0.02117165711168435 -0.0052853313413281896
0.82 -0.1619270148704519 -0.0023767235046957807 0.020356268515009806 0.0020549396889578027 0.02227320938193818 -0.006426585516987441
0.83 -0.16574756751957748 -0.0028263013556687274 0.019579192598876704 0.0024436493421485794 0.023487173866946254 -0.0076422298694384825
0.84 -0.16958211494275405 -0.003303390687074346 0.018750373828174263 0.0028561457054599856 0.024813550566708545 -0.008932264398681304
0.85 -0.17343065713998157 -0.003807991498912637 0.01786981220290249 0.0032924287788920208 0.026252339481225066 -0.010296689104715906
0.86 -0.17729319411126004 -0.004340103791183603 0.01693750772306137 0.0037524985624446863 0.027803540610495815 -0.011735503987542289
0.87 -0.18116972585658947 -0.004899727563887239 0.015953460388650916 0.00423635505611798 0.02946715395452078 -0.013248709047160452
