# Data
{R} <G|V|G> <H|V|H>
5.1427007 0.13451496 0.15646996
5.1498817 0.13460012 0.15645319
5.1570626 0.13468566 0.15643657
5.1642436 0.13477163 0.15642009
5.1714245 0.13485806 0.15640377
5.1786055 0.134945 0.15638758
5.1857865 0.13503246 0.15637153
5.1929674 0.13512048 0.15635561
5.2001484 0.13520907 0.15633981
5.2073293 0.13529826 0.15632411
5.2145103 0.13538807 0.15630851
5.2216913 0.1354785 0.15629299
5.2288722 0.13556957 0.15627754
5.2360532 0.13566128 0.15626213
5.2432341 0.13575366 0.15624674
5.2504151 0.13584671 0.15623137
5.257596 0.13594044 0.15621597
5.264777 0.13603486 0.15620054
5.271958 0.13612998 0.15618504
5.2791389 0.1362258 0.15616946
5.2863199 0.13632234 0.15615376
5.2935008 0.1364196 0.15613791
5.3006818 0.13651762 0.1561219
5.3078628 0.13661646 0.15610569
5.3150437 0.13671617 0.15608927
5.3222247 0.13681683 0.15607263
5.3294056 0.1369185 0.15605578
5.3365866 0.13702124 0.15603869
5.3437676 0.13712514 0.15602139
5.3509485 0.13723026 0.15600388
5.3581295 0.13733666 0.15598617
5.3653104 0.1374444 0.15596829
5.3724914 0.13755353 0.15595024
5.3796724 0.1376641 0.15593205
5.3868533 0.13777617 0.15591374
5.3940343 0.13788975 0.15589534
5.4012152 0.13800489 0.15587688
5.4083962 0.13812161 0.15585837
5.4155772 0.13823992 0.15583984
5.4227581 0.13835984 0.15582134
5.4299391 0.13848136 0.15580287
5.43712 0.13860449 0.15578446
5.444301 0.13872922 0.15576615
5.4514819 0.13885553 0.15574796
5.4586629 0.13898341 0.15572991
5.4658439 0.13911283 0.15571203
5.4730248 0.13924376 0.15569434
5.4802058 0.13937619 0.15567686
5.4873867 0.13951005 0.1556596
5.4945677 0.13964524 0.15564256
5.5017487 0.13978163 0.15562573
5.5089296 0.13991913 0.15560909
5.5161106 0.14005761 0.15559262
5.5232915 0.14019696 0.15557631
5.5304725 0.14033709 0.15556014
5.5376535 0.1404779 0.15554408
5.5448344 0.1406193 0.15552812
5.5520154 0.1407612 0.15551223
5.5591963 0.14090351 0.15549639
5.5663773 0.14104615 0.15548057
5.5735583 0.14118905 0.15546477
5.5807392 0.14133213 0.15544894
5.5879202 0.14147532 0.15543307
5.5951011 0.14161855 0.15541713
5.6022821 0.14176177 0.15540111
5.6094631 0.14190491 0.15538498
5.616644 0.14204791 0.15536872
5.623825 0.14219072 0.15535232
5.6310059 0.14233329 0.15533576
5.6381869 0.14247555 0.15531902
5.6453678 0.14261748 0.15530209
5.6525488 0.14275902 0.15528496
5.6597298 0.14290012 0.15526763
5.6669107 0.14304076 0.15525008
5.6740917 0.14318089 0.15523233
5.6812726 0.14332049 0.15521437
5.6884536 0.14345958 0.15519622
5.6956346 0.14359816 0.15517788
5.7028155 0.14373623 0.15515936
5.7099965 0.14387379 0.15514068
5.7171774 0.14401084 0.15512183
5.7243584 0.1441474 0.15510283
5.7315394 0.14428346 0.1550837
5.7387203 0.14441903 0.15506442
5.7459013 0.1445541 0.15504503
5.7530822 0.14468869 0.15502551
5.7602632 0.1448228 0.15500589
5.7674442 0.14495642 0.15498618
5.7746251 0.14508957 0.15496637
5.7818061 0.14522224 0.15494647
5.788987 0.14535444 0.15492651
5.796168 0.14548617 0.15490647
5.803349 0.14561743 0.15488638
5.8105299 0.14574823 0.15486624
5.8177109 0.14587856 0.15484605
5.8248918 0.14600844 0.15482582
5.8320728 0.14613786 0.15480557
5.8392538 0.14626682 0.15478529
5.8464347 0.14639533 0.15476499
5.8536157 0.1465234 0.15474468
5.8607966 0.14665101 0.15472436
5.8679776 0.14677818 0.15470404
5.8751585 0.1469049 0.15468373
5.8823395 0.14703118 0.15466342
5.8895205 0.14715702 0.15464313
5.8967014 0.14728241 0.15462285
5.9038824 0.14740737 0.15460259
5.9110633 0.1475319 0.15458235
5.9182443 0.14765599 0.15456214
5.9254253 0.14777964 0.15454195
5.9326062 0.14790286 0.15452179
5.9397872 0.14802565 0.15450166
5.9469681 0.14814801 0.15448156
5.9541491 0.14826994 0.15446149
5.9613301 0.14839143 0.15444145
5.968511 0.1485125 0.15442143
5.975692 0.14863314 0.15440144
5.9828729 0.14875335 0.15438148
5.9900539 0.14887313 0.15436153
5.9972349 0.14899248 0.1543416
6.0044158 0.1491114 0.15432168
6.0115968 0.14922989 0.15430177
6.0187777 0.14934795 0.15428186
6.0259587 0.14946558 0.15426195
6.0331397 0.14958278 0.15424202
6.0403206 0.14969954 0.15422208
6.0475016 0.14981587 0.1542021
6.0546825 0.14993176 0.15418208
6.0618635 0.15004721 0.15416202
6.0690444 0.15016222 0.1541419
6.0762254 0.15027678 0.1541217
6.0834064 0.1503909 0.15410142
6.0905873 0.15050455 0.15408104
6.0977683 0.15061775 0.15406054
6.1049492 0.15073048 0.15403992
6.1121302 0.15084274 0.15401916
6.1193112 0.15095452 0.15399824
6.1264921 0.1510658 0.15397714
6.1336731 0.15117658 0.15395585
6.140854 0.15128684 0.15393435
6.148035 0.15139656 0.15391263
6.155216 0.15150571 0.15389069
6.1623969 0.15161426 0.15386852
6.1695779 0.15172216 0.15384613
6.1767588 0.15182937 0.15382353
6.1839398 0.15193583 0.15380075
6.1911208 0.15204146 0.15377783
6.1983017 0.15214617 0.15375482
6.2054827 0.15224983 0.15373181
6.2126636 0.15235229 0.15370894
6.2198446 0.1524533 0.15368638
6.2270256 0.15255256 0.15366444
6.2342065 0.1526496 0.15364352
6.2413875 0.15274374 0.15362429
6.2485684 0.15283393 0.15360776
6.2557494 0.15291853 0.15359551
6.2629303 0.15299507 0.15359001
6.2701113 0.15306006 0.1535947
6.2772923 0.15310948 0.15361356
6.2844732 0.15314057 0.15364933
