# Data
     {R}            <X|V|X>         <A|V|A>        <B|V|B>         <C|V|C>
2.15000000e+01  -6.88220000e-01 -6.10916000e-01 -5.75078000e-01 -5.70446000e-01
2.17500000e+01  -6.88220000e-01 -6.10915000e-01 -5.74545000e-01 -5.70439000e-01
2.20000000e+01  -6.88220000e-01 -6.10914000e-01 -5.74028000e-01 -5.70427000e-01
2.22500000e+01  -6.88219000e-01 -6.10913000e-01 -5.73526000e-01 -5.70410000e-01
2.25000000e+01  -6.88219000e-01 -6.10912000e-01 -5.73051000e-01 -5.70377000e-01
2.27500000e+01  -6.88219000e-01 -6.10912000e-01 -5.72614000e-01 -5.70316000e-01
2.30000000e+01  -6.88219000e-01 -6.10911000e-01 -5.72229000e-01 -5.70213000e-01
2.32500000e+01  -6.88218000e-01 -6.10911000e-01 -5.71906000e-01 -5.70057000e-01
2.35000000e+01  -6.88218000e-01 -6.10910000e-01 -5.71643000e-01 -5.69851000e-01
2.37500000e+01  -6.88218000e-01 -6.10910000e-01 -5.71433000e-01 -5.69601000e-01
2.40000000e+01  -6.88218000e-01 -6.10910000e-01 -5.71271000e-01 -5.69313000e-01
2.42500000e+01  -6.88218000e-01 -6.10910000e-01 -5.71151000e-01 -5.68992000e-01
2.45000000e+01  -6.88218000e-01 -6.10909000e-01 -5.71067000e-01 -5.68643000e-01
2.47500000e+01  -6.88217000e-01 -6.10909000e-01 -5.71013000e-01 -5.68273000e-01
2.50000000e+01  -6.88217000e-01 -6.10909000e-01 -5.70981000e-01 -5.67888000e-01
2.52500000e+01  -6.88217000e-01 -6.10909000e-01 -5.70966000e-01 -5.67493000e-01
2.55000000e+01  -6.88217000e-01 -6.10908000e-01 -5.70963000e-01 -5.67094000e-01
2.57500000e+01  -6.88217000e-01 -6.10908000e-01 -5.70966000e-01 -5.66696000e-01
2.60000000e+01  -6.88217000e-01 -6.10908000e-01 -5.70970000e-01 -5.66304000e-01
2.62500000e+01  -6.88217000e-01 -6.10908000e-01 -5.70972000e-01 -5.65923000e-01
2.65000000e+01  -6.88216000e-01 -6.10908000e-01 -5.70970000e-01 -5.65552000e-01
2.67500000e+01  -6.88216000e-01 -6.10908000e-01 -5.70966000e-01 -5.65189000e-01
2.70000000e+01  -6.88216000e-01 -6.10907000e-01 -5.70961000e-01 -5.64835000e-01
2.72500000e+01  -6.88216000e-01 -6.10907000e-01 -5.70954000e-01 -5.64487000e-01
2.75000000e+01  -6.88216000e-01 -6.10907000e-01 -5.70948000e-01 -5.64145000e-01
2.77500000e+01  -6.88216000e-01 -6.10907000e-01 -5.70942000e-01 -5.63808000e-01
2.80000000e+01  -6.88216000e-01 -6.10907000e-01 -5.70938000e-01 -5.63476000e-01
2.82500000e+01  -6.88216000e-01 -6.10907000e-01 -5.70935000e-01 -5.63147000e-01
2.85000000e+01  -6.88216000e-01 -6.10907000e-01 -5.70934000e-01 -5.62823000e-01
2.87500000e+01  -6.88215000e-01 -6.10907000e-01 -5.70934000e-01 -5.62503000e-01
2.90000000e+01  -6.88215000e-01 -6.10907000e-01 -5.70933000e-01 -5.62189000e-01
2.92500000e+01  -6.88215000e-01 -6.10906000e-01 -5.70933000e-01 -5.61879000e-01
2.95000000e+01  -6.88215000e-01 -6.10906000e-01 -5.70932000e-01 -5.61575000e-01
2.97500000e+01  -6.88215000e-01 -6.10906000e-01 -5.70931000e-01 -5.61275000e-01
3.00000000e+01  -6.88215000e-01 -6.10906000e-01 -5.70930000e-01 -5.60980000e-01
3.02500000e+01  -6.88215000e-01 -6.10906000e-01 -5.70930000e-01 -5.60690000e-01
3.05000000e+01  -6.88215000e-01 -6.10906000e-01 -5.70929000e-01 -5.60404000e-01
3.07500000e+01  -6.88215000e-01 -6.10906000e-01 -5.70929000e-01 -5.60122000e-01
3.10000000e+01  -6.88215000e-01 -6.10906000e-01 -5.70929000e-01 -5.59845000e-01
3.12500000e+01  -6.88215000e-01 -6.10906000e-01 -5.70929000e-01 -5.59571000e-01
3.15000000e+01  -6.88215000e-01 -6.10906000e-01 -5.70929000e-01 -5.59302000e-01
