 R   <X|C|X>   <X|C|A>   <A|C|X>   <A|C|A>
6.104581 -0.0772178532859124 -0.996979721677206 0.9969797216772057 -0.07721785328591217
6.104627 -0.07723710646353285 -0.9969782322461689 0.9969782322461685 -0.07723710646353263
6.1046731 -0.07725641135541998 -0.9969767384606378 0.9969767384606375 -0.07725641135541976
6.1047191 -0.07727568421698686 -0.9969752468001286 0.9969752468001283 -0.07727568421698663
6.1047651 -0.07729496692132001 -0.9969737540244189 0.9969737540244186 -0.07729496692131979
6.1048111 -0.07731425947607526 -0.9969722601323897 0.9969722601323894 -0.07731425947607504
6.1048572 -0.07733360386142676 -0.9969707618716802 0.9969707618716799 -0.07733360386142654
6.1049032 -0.07735291616147835 -0.9969692657412104 0.99696926574121 -0.07735291616147813
6.1049492 -0.0773722383349792 -0.9969677684910446 0.9969677684910443 -0.07737223833497897
6.1049953 -0.07739161242658822 -0.9969662668615031 0.9969662668615028 -0.077391612426588
6.1050413 -0.07741095439155288 -0.9969647673661128 0.9969647673661125 -0.07741095439155266
6.1050873 -0.0774303062530571 -0.9969632667476264 0.996963266747626 -0.07743030625305687
6.1051334 -0.07744971012039546 -0.9969617617390222 0.9969617617390218 -0.07744971012039524
6.1051794 -0.07746908181965781 -0.996960258868479 0.9969602588684787 -0.07746908181965759
6.1052254 -0.07748846343861351 -0.9969587548714152 0.9969587548714148 -0.07748846343861329
6.1052715 -0.07750789715134422 -0.9969572464734453 0.996957246473445 -0.07750789715134401
6.1053175 -0.07752729865447995 -0.9969557402174444 0.996955740217444 -0.07752729865447973
6.1053635 -0.07754671010052677 -0.9969542328314743 0.996954232831474 -0.07754671010052655
6.1054096 -0.07756617372850504 -0.9969527210337633 0.996952721033763 -0.07756617372850481
6.1054556 -0.07758560510528206 -0.9969512113819277 0.9969512113819273 -0.07758560510528184
6.1055016 -0.07760504644825218 -0.9969497005966504 0.9969497005966501 -0.07760504644825196
6.1055477 -0.07762454006152661 -0.9969481853887504 0.9969481853887501 -0.07762454006152639
6.1055937 -0.07764400138190616 -0.996946672330631 0.9969466723306306 -0.07764400138190594
6.1056397 -0.07766347269182546 -0.9969451581355734 0.996945158135573 -0.07766347269182523
6.1056858 -0.0776829963606391 -0.9969436395069645 0.9969436395069642 -0.07768299636063888
6.1057318 -0.07770248769477688 -0.99694212303204 0.9969421230320397 -0.07770248769477665
6.1057778 -0.07772198904186602 -0.9969406054166569 0.9969406054166565 -0.0777219890418658
6.1058238 -0.0777415004097189 -0.9969390866596372 0.9969390866596368 -0.07774150040971868
6.1058699 -0.07776106425490477 -0.9969375634544244 0.9969375634544241 -0.07776106425490455
6.1059159 -0.07778059570958037 -0.9969360424080987 0.9969360424080984 -0.07778059570958015
6.1059619 -0.07780013720851861 -0.996934520216584 0.9969345202165837 -0.07780013720851839
6.106008 -0.07781973127388973 -0.996932993565838 0.9969329935658376 -0.07781973127388951
6.106054 -0.07783929290676542 -0.9969314690778808 0.9969314690778804 -0.0778392929067652
6.1061 -0.07785886460746849 -0.9969299434411583 0.9969299434411579 -0.07785886460746827
6.1061461 -0.07787848896392427 -0.9969284133341186 0.9969284133341183 -0.07787848896392405
6.1061921 -0.07789808084581179 -0.9969268853937692 0.9969268853937688 -0.07789808084581157
6.1062381 -0.07791768281915773 -0.9969253563010542 0.9969253563010538 -0.07791768281915751
6.1062842 -0.07793733753779683 -0.9969238227268891 0.9969238227268887 -0.07793733753779661
6.1063302 -0.07795695973970722 -0.9969222913233149 0.9969222913233146 -0.077956959739707
6.1063762 -0.07797659205677367 -0.9969207587637511 0.9969207587637507 -0.07797659205677344
6.1064223 -0.0779962772088952 -0.9969192217115567 0.9969192217115563 -0.07799627720889497
6.1064683 -0.07801592980203985 -0.9969176868338536 0.9969176868338533 -0.07801592980203963
6.1065143 -0.07803559253410518 -0.9969161507965131 0.9969161507965127 -0.07803559253410496
6.1065604 -0.0780553081912098 -0.9969146102553137 0.9969146102553134 -0.07805530819120958
6.1066064 -0.0780749912470016 -0.9969130718925062 0.9969130718925059 -0.07807499124700137
6.1066524 -0.07809468446554603 -0.9969115323663894 0.9969115323663891 -0.07809468446554581
6.1066985 -0.07811443069933707 -0.9969099883251379 0.9969099883251376 -0.07811443069933685
6.1067445 -0.07813414428939108 -0.9969084464661789 0.9969084464661786 -0.07813414428939086
6.1067905 -0.07815386806609818 -0.9969069034402149 0.9969069034402146 -0.07815386806609796
6.1068365 -0.07817360203743394 -0.9969053592460096 0.9969053592460093 -0.07817360203743372
6.1068826 -0.07819338914461851 -0.9969038105215632 0.9969038105215628 -0.07819338914461829
6.1069286 -0.07821314355137518 -0.9969022639846097 0.9969022639846093 -0.07821314355137496
6.1069746 -0.07823290817675106 -0.9969007162756878 0.9969007162756874 -0.07823290817675084
6.1070207 -0.07825272602870675 -0.9968991640251365 0.9968991640251361 -0.07825272602870653
6.1070667 -0.07827251113760544 -0.99689761396598 0.9968976139659796 -0.07827251113760522
6.1071127 -0.0782923064891825 -0.996896062731104 0.9968960627311036 -0.07829230648918228
6.1071588 -0.07831215515829616 -0.9968945069431624 0.9968945069431621 -0.07831215515829594
6.1072048 -0.07833197104163563 -0.996892953350518 0.9968929533505176 -0.0783319710416354
6.1072508 -0.07835179719178158 -0.9968913985783794 0.996891398578379 -0.07835179719178136
6.1072969 -0.07837167675064755 -0.9968898392416906 0.9968898392416903 -0.07837167675064732
6.1073429 -0.07839152348093395 -0.9968882821042022 0.9968882821042019 -0.07839152348093373
6.1073889 -0.07841138050222429 -0.9968867237834212 0.9968867237834209 -0.07841138050222407
6.107435 -0.07843129102364554 -0.9968851608865571 0.9968851608865568 -0.07843129102364532
6.107481 -0.07845116867359356 -0.9968836001927978 0.9968836001927974 -0.07845116867359334
6.107527 -0.07847105663881271 -0.9968820383119238 0.9968820383119235 -0.07847105663881249
6.1075731 -0.0784909981958019 -0.9968804718433848 0.9968804718433845 -0.07849099819580167
6.1076191 -0.07851090683833586 -0.9968789075818563 0.9968789075818559 -0.07851090683833564
6.1076651 -0.07853082582047821 -0.9968773421293676 0.9968773421293673 -0.07853082582047799
6.1077112 -0.07855079848625887 -0.9968757720775833 0.9968757720775829 -0.07855079848625865
