 R   <X|H|A> 
6.1184366 -0.00025459342384822
6.1184826 -0.000254591168627486
6.1185286 -0.0002545889136206129
6.1185747 -0.0002545866539308174
6.1186207 -0.0002545843993661868
6.1186667 -0.00025458214502938655
6.1187128 -0.00025457988602502635
6.1187588 -0.0002545776321581126
6.1188048 -0.0002545753785326754
6.1188508 -0.00025457312515318926
6.1188969 -0.0002545708671262629
6.1189429 -0.0002545686142525214
6.1189889 -0.00025456636163795473
6.119035 -0.00025456410439077184
6.119081 -0.0002545618523081115
6.119127 -0.00025455960049753723
6.1191731 -0.00025455734406894335
6.1192191 -0.0002545550928158149
6.1192651 -0.00025455284184737286
6.1193112 -0.00025455058627528416
6.1193572 -0.0002545483358891771
6.1194032 -0.00025454608579983525
6.1194493 -0.00025454383112055365
6.1194953 -0.0002545415816368053
6.1195413 -0.0002545393324611604
6.1195874 -0.00025453707870883653
6.1196334 -0.0002545348301611842
6.1196794 -0.00025453258193267395
6.1197254 -0.0002545303340269157
6.1197715 -0.00025452808156180447
6.1198175 -0.00025452583431297463
6.1198635 -0.0002545235873975415
6.1199096 -0.0002545213359354898
6.1199556 -0.000254519089698005
6.1200016 -0.000254516843804271
6.1200477 -0.00025451459337643
6.1200937 -0.00025451234818108545
6.1201397 -0.0002545101033395577
6.1201858 -0.0002545078539762147
6.1202318 -0.0002545056098529466
6.1202778 -0.0002545033660932784
6.1203239 -0.0002545011178238666
6.1203699 -0.00025449887480176285
6.1204159 -0.0002544966321527621
6.120462 -0.0002544943850058733
6.120508 -0.0002544921431131864
6.120554 -0.0002544899016028284
6.1206001 -0.00025448765560622346
6.1206461 -0.0002544854148703783
6.1206921 -0.0002544831745258162
6.1207381 -0.0002544809345754596
6.1207842 -0.00025447869015404203
6.1208302 -0.0002544764510016178
6.1208762 -0.00025447421225199514
6.1209223 -0.00025447196904245667
6.1209683 -0.0002544697311077115
6.1210143 -0.0002544674935840986
6.1210604 -0.0002544652516115072
6.1211064 -0.000254463014919192
6.1211524 -0.00025446077864608085
6.1211985 -0.0002544585379347194
6.1212445 -0.0002544563025088058
6.1212905 -0.00025445406750990976
6.1213366 -0.00025445182808328764
6.1213826 -0.0002544495939469793
6.1214286 -0.00025444736024524855
6.1214747 -0.000254445122126112
6.1215207 -0.0002544428893018531
6.1215667 -0.000254440656919482
6.1216128 -0.000254438420129824
6.1216588 -0.0002544361886393123
6.1217048 -0.0002544339575977512
6.1217508 -0.0002544317270074386
6.1217969 -0.00025442949202301806
6.1218429 -0.00025442726234298305
6.1218889 -0.0002544250331209361
6.121935 -0.0002544227995144372
6.121981 -0.0002544205712159219
6.122027 -0.0002544183433818947
6.1220731 -0.00025441611117287607
6.1221191 -0.0002544138842751599
6.1221651 -0.0002544116578481972
6.1222112 -0.0002544094270555095
6.1222572 -0.00025440720157716827
6.1223032 -0.0002544049765756143
6.1223493 -0.00025440274721740984
6.1223953 -0.0002544005231763278
6.1224413 -0.0002543982996178369
6.1224874 -0.0002543960717115805
6.1225334 -0.0002543938491249574
6.1225794 -0.00025439162702650523
6.1226255 -0.0002543894005889839
6.1226715 -0.000254387179473347
6.1227175 -0.0002543849588512384
6.1227635 -0.00025438273872439377
6.1228096 -0.0002543805142697855
6.1228556 -0.00025437829513966616
6.1229016 -0.0002543760765098776
6.1229477 -0.00025437385356059017
6.1229937 -0.0002543716359374558
6.1230397 -0.0002543694188195042
6.1230858 -0.00025436719739013844
6.1231318 -0.00025436498128834386
6.1231778 -0.0002543627656963741
6.1232239 -0.00025436054580089365
6.1232699 -0.000254358331234165
6.1233159 -0.000254356117181694
6.123362 -0.00025435389883343815
6.123408 -0.00025435168581487927
6.123454 -0.000254349473314807
6.1235001 -0.0002543472565264996
6.1235461 -0.000254345045068604
6.1235921 -0.0002543428341332222
6.1236382 -0.0002543406189169801
6.1236842 -0.0002543384090316393
6.1237302 -0.00025433619967264113
6.1237762 -0.0002543339908412178
6.1238223 -0.00025433177773849904
6.1238683 -0.00025432956996698905
6.1239143 -0.00025432736272662363
6.1239604 -0.0002543251512219382
6.1240064 -0.00025432294504844106
6.1240524 -0.0002543207394094671
6.1240985 -0.00025431852951298154
6.1241445 -0.00025431632494745196
6.1241905 -0.00025431412091963623
6.1242366 -0.00025431191264095056
6.1242826 -0.00025430970969278206
6.1243286 -0.00025430750728533326
6.1243747 -0.00025430530063349176
6.1244207 -0.0002543030993115256
6.1244667 -0.00025430089853310453
6.1245128 -0.000254298693516604
6.1245588 -0.00025429649382914055
6.1246048 -0.0002542942946878666
6.1246509 -0.0002542920913146683
6.1246969 -0.00025428989326947216
6.1247429 -0.00025428769577293554
6.1247889 -0.00025428549882584286
6.124835 -0.000254283297654783
6.124881 -0.00025428110181005255
6.124927 -0.0002542789065170059
6.1249731 -0.0002542767070057787
6.1250191 -0.00025427451281940996
6.1250651 -0.00025427231918679694
6.1251112 -0.00025427012134163457
6.1251572 -0.0002542679288196801
6.1252032 -0.0002542657368533865
6.1252493 -0.00025426354068002355
6.1252953 -0.00025426134982804043
6.1253413 -0.00025425915953346083
6.1253874 -0.00025425696503714103
6.1254334 -0.00025425477586020007
6.1254794 -0.00025425258724224534
6.1255255 -0.00025425039442773074
6.1255715 -0.000254248206930426
6.1256175 -0.0002542460199935338
6.1256636 -0.00025424382886511383
6.1257096 -0.0002542416430515702
6.1257556 -0.0002542394577997103
6.1258016 -0.0002542372731099236
6.1258477 -0.000254235084235093
6.1258937 -0.0002542329006717791
6.1259397 -0.0002542307176716086
6.1259858 -0.00025422853049109106
6.1260318 -0.00025422634861938746
6.1260778 -0.0002542241673117499
6.1261239 -0.00025422198182832167
6.1261699 -0.00025421980165085255
6.1262159 -0.00025421762203822675
6.126262 -0.0002542154382542274
6.126308 -0.0002542132597731843
6.126354 -0.00025421108185762036
6.1264001 -0.0002542088997749628
6.1264461 -0.00025420672299211375
6.1264921 -0.00025420454677524006
6.1265382 -0.0002542023663954251
6.1265842 -0.00025420019131217205
6.1266302 -0.0002541980167953393
6.1266762 -0.00025419584284505864
6.1267223 -0.00025419366473731825
6.1267683 -0.00025419149192171264
6.1268143 -0.00025418931967296924
6.1268604 -0.00025418714327073155
6.1269064 -0.0002541849721571525
6.1269524 -0.0002541828016106144
6.1269985 -0.00025418062691442067
6.1270445 -0.0002541784575032784
6.1270905 -0.00025417628865923047
6.1271366 -0.0002541741156692381
6.1271826 -0.00025417194796056603
6.1272286 -0.00025416978081891565
6.1272747 -0.00025416760953490803
6.1273207 -0.0002541654435283657
6.1273667 -0.000254163278088651
6.1274128 -0.0002541611085100445
6.1274588 -0.00025415894420493005
6.1275048 -0.00025415678046632987
6.1275509 -0.00025415461259218133
6.1275969 -0.00025415244998743555
6.1276429 -0.0002541502879487743
6.1276889 -0.0002541481264760274
6.127735 -0.00025414596087200685
6.127781 -0.00025414380053176313
6.127827 -0.0002541416407568528
6.1278731 -0.0002541394768537376
6.1279191 -0.0002541373182100539
6.1279651 -0.0002541351601310102
6.1280112 -0.0002541329979267174
6.1280572 -0.00025413084097740423
6.1281032 -0.0002541286845919303
6.1281493 -0.0002541265240840496
6.1281953 -0.0002541243688265961
6.1282413 -0.000254122214132075
6.1282874 -0.0002541200553178786
