 R   <X|d2/dR2|X>   <A|d2/dR2|A> 
0.81 -0.045168798363683274 -0.045168798363683274
0.8200000000000001 -0.046085744128280426 -0.046085744128280426
0.8300000000000001 -0.04702272193858851 -0.04702272193858851
0.8400000000000001 -0.04797993099727476 -0.04797993099727476
0.8500000000000001 -0.04895756632248503 -0.04895756632248503
0.86 -0.04995581825472625 -0.04995581825472625
0.87 -0.050974871939228145 -0.050974871939228145
0.88 -0.052014906782605 -0.052014906782605
0.89 -0.05307609588262013 -0.05307609588262013
0.9 -0.05415860542984279 -0.05415860542984279
0.91 -0.05526259407997232 -0.05526259407997232
0.92 -0.05638821229559956 -0.05638821229559956
0.93 -0.057535601656169943 -0.057535601656169943
0.9400000000000001 -0.058704894134915954 -0.058704894134915954
0.95 -0.059896211341532266 -0.059896211341532266
0.96 -0.06110966372938082 -0.06110966372938082
0.97 -0.06234534976603243 -0.06234534976603243
0.98 -0.06360335506598051 -0.06360335506598051
0.99 -0.06488375148439504 -0.06488375148439504
1.0 -0.06618659617083321 -0.06618659617083321
1.01 -0.0675121216919894 -0.0675121216919894
1.02 -0.06886132352652316 -0.06886132352652316
1.03 -0.07023541264020894 -0.07023541264020894
1.04 -0.07163562790552074 -0.07163562790552074
1.05 -0.07306323587886275 -0.07306323587886275
1.06 -0.07451953057859734 -0.07451953057859734
1.07 -0.07600583325997631 -0.07600583325997631
1.08 -0.07752349218298125 -0.07752349218298125
1.0899999999999999 -0.07907388236900395 -0.07907388236900395
1.1 -0.08065840534222321 -0.08065840534222321
1.1099999999999999 -0.08227848885147548 -0.08227848885147548
1.1199999999999999 -0.08393558656837877 -0.08393558656837877
1.13 -0.08563117775743846 -0.08563117775743846
1.14 -0.08736676691385774 -0.08736676691385774
1.15 -0.08914388336478833 -0.08914388336478833
1.16 -0.09096408082979486 -0.09096408082979486
1.17 -0.09282893693636182 -0.09282893693636182
1.18 -0.094740052686366 -0.094740052686366
1.19 -0.09669905186955054 -0.09669905186955054
1.2 -0.09870758042018508 -0.09870758042018508
1.2193548387096773 -0.10273765017103015 -0.10273765017103015
1.229032258064516 -0.10482016289288588 -0.10482016289288588
1.238709677419355 -0.10694508962341129 -0.10694508962341129
1.2483870967741935 -0.10911034853181105 -0.10911034853181105
1.2580645161290323 -0.11131372979280167 -0.11131372979280167
1.2677419354838708 -0.11355289153339865 -0.11355289153339865
1.2774193548387096 -0.11582535607987796 -0.11582535607987796
1.2870967741935484 -0.11812850651895168 -0.11812850651895168
1.296774193548387 -0.12045958358808281 -0.12045958358808281
1.3064516129032258 -0.12281568291076232 -0.12281568291076232
1.3161290322580645 -0.1251937525934659 -0.1251937525934659
1.3258064516129031 -0.12759059120190036 -0.12759059120190036
1.335483870967742 -0.1300028461350304 -0.1300028461350304
1.3451612903225807 -0.1324270124162322 -0.1324270124162322
1.3548387096774193 -0.13485943192176142 -0.13485943192176142
1.364516129032258 -0.1372962930675172 -0.1372962930675172
1.3741935483870968 -0.1397336309758411 -0.1397336309758411
1.3838709677419354 -0.14216732814479083 -0.14216732814479083
1.3935483870967742 -0.14459311564296862 -0.14459311564296862
1.403225806451613 -0.14700657485354296 -0.14700657485354296
1.4129032258064516 -0.14940313979158124 -0.14940313979158124
1.4225806451612903 -0.15177810001918904 -0.15177810001918904
1.432258064516129 -0.15412660418321977 -0.15412660418321977
1.4419354838709677 -0.15644366420046035 -0.15644366420046035
1.4516129032258065 -0.15872416011521306 -0.15872416011521306
1.461290322580645 -0.16096284565404737 -0.16096284565404737
1.4709677419354839 -0.16315435450219698 -0.16315435450219698
1.4806451612903226 -0.16529320732560585 -0.16529320732560585
1.4903225806451612 -0.16737381956195257 -0.16737381956195257
1.5 -0.16939051000313304 -0.16939051000313304
1.509993076923077 -0.1713954308084072 -0.1713954308084072
1.5199861538461539 -0.17329333111912518 -0.17329333111912518
1.5299792307692308 -0.17505093699324187 -0.17505093699324187
1.5399723076923078 -0.17663447910376354 -0.17663447910376354
1.5499653846153847 -0.17800984259661443 -0.17800984259661443
1.5599584615384616 -0.17914274553068793 -0.17914274553068793
1.5699515384615386 -0.17999894598707228 -0.17999894598707228
1.5799446153846155 -0.18054447792111733 -0.18054447792111733
1.5899376923076922 -0.18074591581626628 -0.18074591581626628
1.5999307692307692 -0.1805706681824609 -0.1805706681824609
1.609923846153846 -0.17998729992442755 -0.17998729992442755
1.619916923076923 -0.17896588358633658 -0.17896588358633658
1.62991 -0.17747837945925982 -0.17747837945925982
1.639903076923077 -0.17549904451659085 -0.17549904451659085
1.6498961538461538 -0.17300487012026863 -0.17300487012026863
1.6598892307692308 -0.1699760484173403 -0.1699760484173403
1.6698823076923077 -0.16639646732228391 -0.16639646732228391
1.6798753846153847 -0.1622542339557114 -0.1622542339557114
1.6898684615384614 -0.15754222638477888 -0.15754222638477888
1.6998615384615383 -0.1522586734850308 -0.1522586734850308
1.7098546153846153 -0.14640776271769332 -0.14640776271769332
1.7198476923076922 -0.14000027559085204 -0.14000027559085204
1.7298407692307691 -0.13305425054770606 -0.13305425054770606
1.739833846153846 -0.12559567300046148 -0.12559567300046148
1.749826923076923 -0.11765919220463412 -0.11765919220463412
1.75982 -0.10928886464585491 -0.10928886464585491
1.7698130769230769 -0.10053892358996168 -0.10053892358996168
1.7798061538461538 -0.09147457442747593 -0.09147457442747593
1.7897992307692308 -0.08217281542576889 -0.08217281542576889
1.7997923076923077 -0.07272328348654541 -0.07272328348654541
1.8097853846153846 -0.06322912449297527 -0.06322912449297527
1.8197784615384616 -0.0538078878200722 -0.0538078878200722
1.8297715384615383 -0.04459244457398669 -0.04459244457398669
1.8397646153846152 -0.0357319291208917 -0.0357319291208917
1.8497576923076922 -0.027392703464269724 -0.027392703464269724
1.859750769230769 -0.01975934403076113 -0.01975934403076113
1.869743846153846 -0.013035650429404695 -0.013035650429404695
1.879736923076923 -0.007445675757137426 -0.007445675757137426
1.88973 -0.0032347780348418284 -0.0032347780348418284
1.89691 -0.0014165428659979676 -0.0014165428659979676
1.90409 -0.0008277014980239613 -0.0008277014980239613
1.91127 -0.0004622369979146092 -0.0004622369979146092
1.91845 -0.0002438786189637461 -0.0002438786189637461
1.92563 -0.00011955431303043031 -0.00011955431303043031
1.93281 -5.30991642757314e-5 -5.30991642757314e-5
1.93999 -2.0512668912039616e-5 -2.0512668912039616e-5
1.94717 -6.408890743497592e-6 -6.408890743497592e-6
1.95435 -1.393625687432821e-6 -1.393625687432821e-6
1.96154 -1.4116516500962917e-7 -1.4116516500962917e-7
1.96872 -8.131303877851577e-10 -8.131303877851577e-10
1.9759 -3.759422894395656e-9 -3.759422894395656e-9
1.98308 -1.6453491536404305e-7 -1.6453491536404305e-7
1.99026 -1.0024155589657531e-6 -1.0024155589657531e-6
1.99744 -3.222199056950539e-6 -3.222199056950539e-6
2.00462 -7.510159039602555e-6 -7.510159039602555e-6
2.0118 -1.4412570625195421e-5 -1.4412570625195421e-5
2.01898 -2.4270745107768762e-5 -2.4270745107768762e-5
2.02616 -3.719690049673631e-5 -3.719690049673631e-5
2.03335 -5.3066224972725877e-5 -5.3066224972725877e-5
2.04053 -7.156912267952482e-5 -7.156912267952482e-5
2.04771 -9.219218174955639e-5 -9.219218174955639e-5
2.05489 -0.00011428087521181988 -0.00011428087521181988
2.06207 -0.00013707083825096055 -0.00013707083825096055
2.06925 -0.0001597231547853386 -0.0001597231547853386
2.07643 -0.00018135884751387007 -0.00018135884751387007
2.08361 -0.00020109530406036379 -0.00020109530406036379
2.09079 -0.0002180808294361547 -0.0002180808294361547
2.09797 -0.00023151828678927186 -0.00023151828678927186
2.10515 -0.00024070507407112946 -0.00024070507407112946
2.11234 -0.0002450075631924411 -0.0002450075631924411
2.11952 -0.00024407219926724319 -0.00024407219926724319
2.1267 -0.00023759386653998457 -0.00023759386653998457
2.13388 -0.0002255086735352068 -0.0002255086735352068
2.14106 -0.00020799465905314398 -0.00020799465905314398
2.14824 -0.0001854941677395154 -0.0001854941677395154
2.15542 -0.00015876033136456088 -0.00015876033136456088
2.1626 -0.00012889014638300578 -0.00012889014638300578
2.16978 -9.737635441051683e-5 -9.737635441051683e-5
2.17696 -6.615888802411149e-5 -6.615888802411149e-5
2.18415 -3.766010108226074e-5 -3.766010108226074e-5
2.19133 -1.4963489473318606e-5 -1.4963489473318606e-5
2.19851 -1.7238568622736883e-6 -1.7238568622736883e-6
2.19866164 -1.5764506349478038e-6 -1.5764506349478038e-6
2.19881328 -1.4358743606167023e-6 -1.4358743606167023e-6
2.19896492 -1.3015218039649827e-6 -1.3015218039649827e-6
2.19911656 -1.173494788989998e-6 -1.173494788989998e-6
2.1992682 -1.051815069895805e-6 -1.051815069895805e-6
2.19941984 -9.365252966171022e-7 -9.365252966171022e-7
2.19957148 -8.276848240783622e-7 -8.276848240783622e-7
2.19972312 -7.253449411372958e-7 -7.253449411372958e-7
2.19987476 -6.286697032401915e-7 -6.286697032401915e-7
2.2000264 -5.399889224343029e-7 -5.399889224343029e-7
2.2000725 -5.141500081720748e-7 -5.141500081720748e-7
2.2001185 -4.890279576259162e-7 -4.890279576259162e-7
